0.06683	0.03261
0.07499	0.04072
0.08414	0.05035
0.0944	0.06201
0.10592	0.07605
0.11885	0.09151
0.13335	0.10952
0.14962	0.12881
0.16788	0.15028
0.18836	0.17177
0.21135	0.19233
0.23713	0.2121
0.26607	0.22905
0.29853	0.24251
0.33496	0.25466
0.37583	0.2646
0.42169	0.27705
0.47314	0.28203
0.53088	0.28568
0.59565	0.28799
0.66833	0.28923
0.74988	0.28742
0.84138	0.28077
0.94405	0.27784
1.05924	0.27432
1.18848	0.26549
1.3335	0.26059
1.49621	0.25302
1.67878	0.25053
1.88362	0.24313
2.11346	0.23783
2.37134	0.23015
2.66068	0.22429
2.98534	0.22064
3.3496	0.21484
3.75831	0.20871
4.2169	0.20343
4.73144	0.19903
5.30876	0.19129
5.95652	0.17558
6.68333	0.14832
7.49882	0.11457
8.41381	0.07635
9.44045	0.04301
10.59236	0.02064
11.88482	0.00897
13.33498	0.00371
14.9621	0.00141
16.78775	1.27E-04
18.83616	7.14E-05
